artists,acousticness,danceability,energy,instrumentalness,liveness,loudness,speechiness,tempo,valence,popularity,key,mode,genres
Stanley Holloway,0.882571429,0.643,0.432142857,0.004283734,0.312714286,-11.64371429,0.093428571,121.151,0.801,19.14285714,0,1,"['british comedy', 'music hall']"
Stanley Jordan,0.666,0.457,0.383,0.8085,0.1182,-17.3525,0.05145,125.591,0.485,31.5,10,0,"['jazz fusion', 'jazz guitar']"
Stanley Lebowsky,0.6285,0.574,0.491,0,0.6065,-11.457,0.3675,130.311,0.671,17.5,7,1,[]
Stanley Myers,0.973,0.292,0.0332,0.901,0.0777,-26.977,0.042,94.82,0.23,46,4,1,[]
Stanley Prager,0.8245,0.5595,0.459,0,0.571,-11.197,0.2578,136.0535,0.692,13.5,7,1,[]
Stanley Turrentine,0.6817,0.514766667,0.382426667,0.124556927,0.146586667,-13.76076667,0.041513333,110.9794,0.530766667,26.7,5,1,"['bebop', 'contemporary post-bop', 'cool jazz', 'hard bop', 'jazz', 'jazz funk', 'jazz saxophone', 'soul jazz']"
Stanley Wayne Mathis,0.623,0.7165,0.396,0,0.3407,-11.8875,0.2589,114.4965,0.668,40,9,1,[]
Stanley Wilson,0.361,0.606,0.607,0.106,0.249,-7.058,0.0417,115.113,0.622,17,5,1,['exotica']
Stanton Moore,0.182,0.666,0.626,0.873,0.0748,-8.735,0.0399,100.62,0.96,37,8,1,['new orleans funk']
Star & Micey,0.204,0.672,0.766,0.000183,0.0767,-8.918,0.0393,86.981,0.699,34,7,1,['memphis americana']
Star Fucking Hipsters,0.0116,0.812,0.457,0.00058,0.113,-8.813,0.0805,140.489,0.666,46,1,1,"['crack rock steady', 'folk punk', 'modern ska punk', 'punk', 'ska', 'ska punk', 'skate punk']"
Starboard Mess,0.936,0.6225,0.1244,0,0.2215,-15.746,0.3335,179.3505,0.6825,40.5,7,1,[]
Starbomb,0.2165,0.6615,0.7675,0,0.1895,-5.3225,0.1885,119.9755,0.651,51,10,1,"['antiviral pop', 'comic', 'otacore']"
Starbuck,0.468,0.671,0.778,7.52E-05,0.115,-8.11,0.0273,120.397,0.853,49,7,1,"['soft rock', 'yacht rock']"
Starcastle,0.0064,0.359,0.699,0.222,0.117,-11.195,0.0402,148.092,0.514,25,1,1,"['art rock', 'canterbury scene', 'neo-progressive', 'progressive rock', 'symphonic rock']"
Stardust,0.001165,0.732,0.691,0.179,0.3435,-7.1155,0.3365,124.1615,0.3615,65.5,5,1,[]
Stargard,0.07195,0.8115,0.7515,0.06175,0.0337,-12.6275,0.04195,113.837,0.955,35.5,6,0,"['deep disco', 'disco', 'post-disco']"
Stark Sands,0.0569,0.417,0.647,1.67E-06,0.0585,-5.87,0.0296,166.12,0.339,59,8,1,"['broadway', 'show tunes']"
Starland Vocal Band,0.49,0.486,0.445,0,0.101,-11.728,0.03,147.221,0.788,62,5,1,['soft rock']
Starley,0.0604,0.67,0.838,0.000611,0.159,-4.031,0.0362,104.998,0.717,66,0,1,"['aussietronica', 'tropical house']"
Starliters,0.347,0.416,0.707,0,0.708,-11.573,0.144,198.612,0.691,35,0,1,[]
Starpoint,0.1964,0.716666667,0.576333333,0.001944703,0.0687,-11.272,0.051133333,114.2683333,0.658,33.33333333,5,1,"['funk', 'post-disco']"
Stars,0.287893333,0.432333333,0.448666667,0.021290333,0.162433333,-7.948,0.0276,101.9953333,0.347666667,43.66666667,3,1,"['alternative metal', 'future rock', 'post-grunge']"
Stars Go Dim,0.0916,0.505,0.7,4.80E-06,0.0908,-6.585,0.0415,162.107,0.321,50,4,1,"['anthem worship', 'ccm', 'christian pop']"
Stars Of The Lid,0.9395,0.096575,0.09875,0.92475,0.09675,-25.5775,0.046475,88.50775,0.032675,50.25,8,1,"['ambient', 'art pop', 'compositional ambient', 'drift', 'drone', 'fourth world', 'post-rock', 'slow core', 'warm drone']"
Stars On 45,0.170433333,0.724333333,0.763333333,0.060222758,0.350111111,-6.316111111,0.073311111,122.2424444,0.905,41.88888889,7,1,['disco']
Starship,0.16537625,0.61175,0.810875,0.006090971,0.116275,-6.34775,0.040625,114.267375,0.57,47.875,6,1,"['album rock', 'dance rock', 'mellow gold', 'new romantic', 'new wave', 'new wave pop', 'soft rock']"
Start Trouble,0.183,0.555,0.812,0,0.597,-2.68,0.0287,92.996,0.687,39,7,1,[]
Starz,0.0302,0.448,0.926,9.53E-06,0.0571,-3.831,0.0626,133.287,0.823,22,1,1,[]
Stat Quo,0.0561,0.695,0.61,1.19E-05,0.123,-5.133,0.228,83.659,0.133,52,5,1,"['album rock', 'blues rock', 'british blues', 'classic rock', 'glam rock', 'hard rock', 'rock']"
State Champs,0.214541,0.449666667,0.788666667,0,0.060766667,-4.951666667,0.072366667,148.7573333,0.532333333,54,7,1,"['anthem emo', 'pixie', 'pop punk']"
State Of Shock,0.00156,0.594,0.482,0,0.131,-16.858,0.0417,122.155,0.252,43,4,1,['canadian rock']
State Radio,0.501,0.55,0.542,0,0.345,-7.017,0.0581,173.896,0.641,53,0,1,"['east coast reggae', 'reggae rock']"
State of Mine,0.000117,0.492,0.87,0.000102,0.251,-5.295,0.0348,101.284,0.107,59,9,1,"['gymcore', 'post-screamo']"
